"","pvec","avec"
"1",0.4,0.947587495752633
"2",0.4,0.949201495073055
"3",0.4,0.944529391777098
"4",0.4,0.945378865103636
"5",0.4,0.952004757050629
"6",0.4,0.949626231736323
"7",0.45,0.954865616311399
"8",0.45,0.95356811862836
"9",0.45,0.958016682113068
"10",0.45,0.9516218721038
"11",0.45,0.955885078776645
"12",0.45,0.951065801668211
"13",0.5,0.957084607543323
"14",0.5,0.957288481141692
"15",0.5,0.955963302752294
"16",0.5,0.957594291539246
"17",0.5,0.956982670744139
"18",0.5,0.959225280326198
"19",0.55,0.960009063101847
"20",0.55,0.96148181715192
"21",0.55,0.96102866205959
"22",0.55,0.959102752917186
"23",0.55,0.958309731505608
"24",0.55,0.955250934632378
"25",0.6,0.965969920978843
"26",0.6,0.965715014019883
"27",0.6,0.963803211827683
"28",0.6,0.959342340045883
"29",0.6,0.962911037471323
"30",0.6,0.960871781799643
"31",0.65,0.965914056809905
"32",0.65,0.967370721048798
"33",0.65,0.96693372177713
"34",0.65,0.961107064821559
"35",0.65,0.961981063364894
"36",0.65,0.967662053896577
"37",0.7,0.966015293118097
"38",0.7,0.967204757858963
"39",0.7,0.969753610875106
"40",0.7,0.964146134239592
"41",0.7,0.965335598980459
"42",0.7,0.969753610875106
"43",0.75,0.969004893964111
"44",0.75,0.975122349102773
"45",0.75,0.963499184339315
"46",0.75,0.970636215334421
"47",0.75,0.967781402936378
"48",0.75,0.969616639477977
"49",0.8,0.975019118021922
"50",0.8,0.971960234514402
"51",0.8,0.974509304104002
"52",0.8,0.975783838898802
"53",0.8,0.974254397145042
"54",0.8,0.970940606678562
"55",0.85,0.970428280081577
"56",0.85,0.972807613868117
"57",0.85,0.97212780421482
"58",0.85,0.971447994561523
"59",0.85,0.974167233174711
"60",0.85,0.975186947654657
"61",0.9,0.983163265306122
"62",0.9,0.976530612244898
"63",0.9,0.973469387755102
"64",0.9,0.978061224489796
"65",0.9,0.979081632653061
"66",0.9,0.973469387755102
"67",0.95,0.970377936670072
"68",0.95,0.978549540347293
"69",0.95,0.976506639427988
"70",0.95,0.97752808988764
"71",0.95,0.976506639427988
"72",0.95,0.97752808988764
